epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,39.3445,0.66701,0.73773,1.02878,0.7246,0.64094,0.66872,0.44127,1.10269,1.80628,1.37025,0.0005941,0.0005941,0.0005941
43,40.227,0.66669,0.75853,1.03996,0.78902,0.57129,0.67092,0.45782,1.13401,1.80861,1.38742,0.0005842,0.0005842,0.0005842
44,41.23,0.63707,0.72796,1.01706,0.65097,0.6008,0.65865,0.45817,1.14735,1.82927,1.37704,0.0005743,0.0005743,0.0005743
45,42.2401,0.64339,0.75115,1.03226,0.70497,0.63194,0.68054,0.47988,1.13715,1.77688,1.38607,0.0005644,0.0005644,0.0005644
46,43.2476,0.61729,0.73643,0.99046,0.76723,0.6061,0.67431,0.46994,1.15042,1.75029,1.40405,0.0005545,0.0005545,0.0005545
47,44.2205,0.63725,0.68224,0.99568,0.77304,0.57639,0.68087,0.45193,1.17433,1.72532,1.42033,0.0005446,0.0005446,0.0005446
48,45.0226,0.65237,0.71539,1.0244,0.74381,0.62302,0.69178,0.4545,1.17658,1.62661,1.42876,0.0005347,0.0005347,0.0005347
49,45.9275,0.64418,0.7079,1.01502,0.74632,0.625,0.69728,0.47079,1.18893,1.61234,1.45418,0.0005248,0.0005248,0.0005248
50,46.871,0.62774,0.71267,1.02155,0.77524,0.6397,0.7004,0.46071,1.18505,1.70654,1.42757,0.0005149,0.0005149,0.0005149
51,47.8332,0.6118,0.67975,1.0187,0.74489,0.68114,0.72124,0.47795,1.17912,1.80951,1.40969,0.000505,0.000505,0.000505
52,48.7363,0.62872,0.7504,1.03157,0.73284,0.68197,0.70959,0.4674,1.17219,1.91418,1.35361,0.0004951,0.0004951,0.0004951
53,49.7216,0.59871,0.69045,1.01355,0.74111,0.70845,0.72097,0.46647,1.1687,1.89469,1.34091,0.0004852,0.0004852,0.0004852
54,50.742,0.584,0.65743,0.99089,0.76746,0.72992,0.73802,0.45933,1.155,1.72342,1.33803,0.0004753,0.0004753,0.0004753
55,51.7494,0.63779,0.70275,0.99857,0.82503,0.68044,0.7435,0.47679,1.12681,1.60748,1.32971,0.0004654,0.0004654,0.0004654
56,52.7166,0.62303,0.67449,1.00703,0.70808,0.71138,0.72367,0.47179,1.10523,1.57141,1.32463,0.0004555,0.0004555,0.0004555
57,53.6136,0.57408,0.65333,0.99247,0.8255,0.62842,0.71276,0.47647,1.12688,1.62726,1.33799,0.0004456,0.0004456,0.0004456
58,54.5321,0.60215,0.67999,0.98374,0.8357,0.64861,0.72016,0.4975,1.07328,1.54229,1.29708,0.0004357,0.0004357,0.0004357
59,55.5455,0.62472,0.68482,0.99939,0.82151,0.64652,0.74297,0.52542,1.01498,1.42191,1.24693,0.0004258,0.0004258,0.0004258
60,56.5169,0.6177,0.70171,1.01034,0.74543,0.70671,0.7511,0.52928,1.00757,1.41332,1.23896,0.0004159,0.0004159,0.0004159
61,57.8076,0.55113,0.63203,0.95033,0.7488,0.67791,0.74457,0.52421,1.00701,1.42003,1.24141,0.000406,0.000406,0.000406
62,58.9467,0.5865,0.6307,0.99012,0.72757,0.73174,0.7548,0.53211,0.98535,1.40378,1.22111,0.0003961,0.0003961,0.0003961
63,59.8391,0.55762,0.63411,0.98894,0.70945,0.75595,0.77315,0.53658,0.98399,1.39768,1.23197,0.0003862,0.0003862,0.0003862
64,60.5789,0.56848,0.6211,0.99369,0.75062,0.73274,0.75819,0.52319,0.9873,1.52722,1.25454,0.0003763,0.0003763,0.0003763
65,61.3176,0.52228,0.61911,0.96208,0.76402,0.67101,0.75308,0.51528,0.99824,1.56394,1.27931,0.0003664,0.0003664,0.0003664
66,62.0624,0.57051,0.65336,0.98272,0.86132,0.64997,0.73869,0.49648,1.02957,1.60371,1.30663,0.0003565,0.0003565,0.0003565
67,62.8351,0.56853,0.62637,0.98401,0.84827,0.63452,0.72535,0.46658,1.07629,1.62635,1.33468,0.0003466,0.0003466,0.0003466
68,63.6039,0.56647,0.62981,0.96538,0.85183,0.61036,0.7238,0.46432,1.07667,1.61203,1.34591,0.0003367,0.0003367,0.0003367
69,64.3197,0.53051,0.61221,0.95532,0.85739,0.59985,0.72896,0.47109,1.0692,1.5804,1.3468,0.0003268,0.0003268,0.0003268
70,65.1287,0.56444,0.61994,0.98484,0.82597,0.69213,0.74902,0.48624,1.06849,1.54596,1.34107,0.0003169,0.0003169,0.0003169
71,65.9146,0.51436,0.5814,0.94093,0.75829,0.70135,0.73705,0.48294,1.08334,1.54415,1.35545,0.000307,0.000307,0.000307
72,66.6157,0.52378,0.57956,0.95774,0.78533,0.65978,0.74723,0.49771,1.07855,1.53638,1.32339,0.0002971,0.0002971,0.0002971
