epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,40.3097,0.76301,0.79588,1.12392,0.67323,0.42844,0.47923,0.34945,1.17307,2.8562,1.44,0.0005842,0.0005842,0.0005842
44,41.0267,0.75877,0.75637,1.09226,0.72712,0.43144,0.51081,0.36705,1.14524,2.75583,1.41025,0.0005743,0.0005743,0.0005743
45,41.7638,0.70552,0.7565,1.06759,0.73686,0.44494,0.50946,0.38413,1.11039,2.76381,1.41123,0.0005644,0.0005644,0.0005644
46,42.5091,0.67344,0.72583,1.05537,0.73714,0.42361,0.52522,0.38255,1.14637,2.81851,1.43208,0.0005545,0.0005545,0.0005545
47,43.2284,0.72815,0.78594,1.09476,0.77069,0.40972,0.51338,0.37525,1.13799,2.90019,1.4162,0.0005446,0.0005446,0.0005446
48,43.9713,0.71273,0.75441,1.06943,0.7839,0.38923,0.5251,0.38055,1.11277,2.9179,1.40388,0.0005347,0.0005347,0.0005347
49,44.6784,0.71174,0.76891,1.07533,0.72317,0.40823,0.54376,0.39343,1.108,2.92641,1.371,0.0005248,0.0005248,0.0005248
50,45.4247,0.69519,0.72649,1.06289,0.73401,0.41789,0.56164,0.40308,1.12478,2.89503,1.37439,0.0005149,0.0005149,0.0005149
51,46.1631,0.66813,0.73691,1.04043,0.72322,0.45062,0.51445,0.3574,1.15042,2.82748,1.38284,0.000505,0.000505,0.000505
52,46.9095,0.68531,0.72928,1.04595,0.62646,0.42956,0.47506,0.32835,1.12764,2.68803,1.37164,0.0004951,0.0004951,0.0004951
53,47.6235,0.65025,0.72048,1.04562,0.60365,0.44887,0.46007,0.33364,1.10792,2.63396,1.38483,0.0004852,0.0004852,0.0004852
54,48.3797,0.65438,0.66963,1.02737,0.60433,0.44247,0.48893,0.35326,1.1173,2.62999,1.40263,0.0004753,0.0004753,0.0004753
55,49.0876,0.67353,0.66905,1.06261,0.66515,0.43791,0.49747,0.34977,1.1321,2.73399,1.40724,0.0004654,0.0004654,0.0004654
56,49.7937,0.70286,0.73191,1.0505,0.74653,0.43428,0.50011,0.33729,1.14716,2.75553,1.41768,0.0004555,0.0004555,0.0004555
57,50.5242,0.66026,0.70063,1.0386,0.80443,0.4673,0.54408,0.37407,1.19416,2.70747,1.4218,0.0004456,0.0004456,0.0004456
58,51.2359,0.63125,0.70166,1.01183,0.73332,0.42948,0.53865,0.36239,1.18891,2.7282,1.41849,0.0004357,0.0004357,0.0004357
59,51.9289,0.62982,0.63594,1.01492,0.73163,0.40015,0.52704,0.34638,1.20716,2.7769,1.47526,0.0004258,0.0004258,0.0004258
60,52.6355,0.61342,0.662,1.0163,0.66877,0.41027,0.5317,0.34839,1.23035,2.7109,1.54591,0.0004159,0.0004159,0.0004159
61,53.3586,0.63908,0.68766,1.04257,0.64167,0.42556,0.53506,0.35797,1.25442,2.64521,1.55399,0.000406,0.000406,0.000406
62,54.0527,0.60507,0.62551,1.03293,0.63931,0.45117,0.56372,0.36603,1.28139,2.54078,1.58519,0.0003961,0.0003961,0.0003961
63,54.7903,0.60116,0.65638,1.02485,0.70964,0.4883,0.58424,0.38548,1.26584,2.41379,1.58966,0.0003862,0.0003862,0.0003862
64,55.5079,0.63023,0.64258,1.03149,0.69511,0.4896,0.59559,0.38376,1.21947,2.3591,1.57949,0.0003763,0.0003763,0.0003763
65,56.2014,0.55745,0.6152,0.98677,0.66958,0.48156,0.60474,0.39,1.20178,2.27142,1.55987,0.0003664,0.0003664,0.0003664
66,56.9255,0.58791,0.64837,1.00365,0.68756,0.50417,0.61133,0.39431,1.23244,2.16095,1.55485,0.0003565,0.0003565,0.0003565
67,57.611,0.66741,0.66439,1.04413,0.65597,0.56033,0.58961,0.38747,1.21941,2.04443,1.51601,0.0003466,0.0003466,0.0003466
68,58.3127,0.57212,0.62833,0.99129,0.60512,0.57067,0.59213,0.40884,1.15356,1.96866,1.44615,0.0003367,0.0003367,0.0003367
69,59.0388,0.6139,0.62411,1.01428,0.55801,0.59414,0.61604,0.43236,1.12395,1.87734,1.42111,0.0003268,0.0003268,0.0003268
70,59.7664,0.56149,0.57316,0.98143,0.60855,0.64295,0.65038,0.44064,1.15336,1.86459,1.44767,0.0003169,0.0003169,0.0003169
71,60.4882,0.56854,0.60597,1.00783,0.60994,0.57623,0.63993,0.4439,1.14696,1.9297,1.4587,0.000307,0.000307,0.000307
72,61.1941,0.53726,0.57489,0.98075,0.6313,0.56327,0.62381,0.42471,1.13771,1.99698,1.43946,0.0002971,0.0002971,0.0002971
