epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,111.376,0.86367,0.8142,1.07408,0.77902,0.63001,0.71711,0.50889,1.05788,1.3145,1.20024,0.0005941,0.0005941,0.0005941
43,113.857,0.78577,0.80714,1.05906,0.72809,0.70995,0.7288,0.51105,1.07218,1.33447,1.21066,0.0005842,0.0005842,0.0005842
44,116.296,0.85129,0.8041,1.09363,0.78547,0.66793,0.73365,0.52224,1.02825,1.26358,1.2025,0.0005743,0.0005743,0.0005743
45,118.648,0.80863,0.80441,1.07363,0.80422,0.67215,0.74334,0.51439,1.07644,1.33494,1.20381,0.0005644,0.0005644,0.0005644
46,120.983,0.8405,0.82407,1.06839,0.79401,0.68964,0.75519,0.52784,1.04842,1.25541,1.20157,0.0005545,0.0005545,0.0005545
47,123.336,0.77847,0.7554,1.03194,0.75094,0.6889,0.74822,0.53156,1.06144,1.22065,1.18676,0.0005446,0.0005446,0.0005446
48,125.764,0.80502,0.78278,1.05071,0.7347,0.7439,0.73936,0.54334,1.01786,1.25239,1.15661,0.0005347,0.0005347,0.0005347
49,128.15,0.79995,0.79372,1.05455,0.72952,0.7526,0.74734,0.5324,1.06689,1.22264,1.20242,0.0005248,0.0005248,0.0005248
50,130.549,0.81445,0.78578,1.07375,0.71537,0.73857,0.76868,0.54176,1.06024,1.20145,1.18846,0.0005149,0.0005149,0.0005149
51,132.953,0.82043,0.78928,1.06939,0.68405,0.78006,0.76869,0.53396,1.0707,1.15304,1.18922,0.000505,0.000505,0.000505
52,135.358,0.77153,0.7411,1.04164,0.73911,0.74933,0.7702,0.56211,1.02253,1.10588,1.15746,0.0004951,0.0004951,0.0004951
53,137.898,0.74374,0.7205,1.01883,0.74029,0.73302,0.76373,0.56234,1.03547,1.21653,1.17835,0.0004852,0.0004852,0.0004852
54,140.259,0.76504,0.72769,1.02622,0.75786,0.71542,0.74493,0.53144,1.06186,1.35511,1.21307,0.0004753,0.0004753,0.0004753
55,142.717,0.78105,0.77524,1.05273,0.77309,0.68388,0.71158,0.49251,1.10403,1.57801,1.22909,0.0004654,0.0004654,0.0004654
56,145.104,0.74507,0.70311,1.02478,0.7042,0.71533,0.71868,0.51373,1.0256,1.40107,1.18439,0.0004555,0.0004555,0.0004555
57,147.557,0.73894,0.66655,1.00851,0.77466,0.71798,0.75233,0.53974,1.02148,1.31131,1.15921,0.0004456,0.0004456,0.0004456
58,149.982,0.74489,0.67765,1.01432,0.75599,0.66502,0.70664,0.51258,1.01828,1.38558,1.16456,0.0004357,0.0004357,0.0004357
59,152.425,0.74344,0.68653,1.02757,0.75991,0.69045,0.72636,0.52607,0.99016,1.27003,1.14355,0.0004258,0.0004258,0.0004258
60,154.841,0.73793,0.66978,1.0068,0.76124,0.7009,0.73304,0.53138,0.99032,1.22567,1.15296,0.0004159,0.0004159,0.0004159
61,157.378,0.71819,0.68528,1.01289,0.69626,0.74333,0.74706,0.5461,0.96511,1.18017,1.13619,0.000406,0.000406,0.000406
62,159.816,0.68735,0.66869,1.00122,0.74375,0.7194,0.74711,0.53713,0.9859,1.22226,1.15292,0.0003961,0.0003961,0.0003961
63,162.137,0.71377,0.67632,1.0059,0.7424,0.6694,0.71943,0.52228,1.02251,1.27865,1.17192,0.0003862,0.0003862,0.0003862
64,164.539,0.68594,0.64229,1.00005,0.76109,0.6865,0.74324,0.55288,0.99268,1.21893,1.16394,0.0003763,0.0003763,0.0003763
65,166.935,0.68741,0.64474,0.99531,0.80086,0.67642,0.75699,0.55897,0.97036,1.20788,1.13956,0.0003664,0.0003664,0.0003664
66,169.393,0.67151,0.61577,0.99554,0.7169,0.76142,0.77127,0.56304,0.98177,1.21992,1.14073,0.0003565,0.0003565,0.0003565
67,171.848,0.72608,0.64716,1.00805,0.75865,0.75429,0.78256,0.57682,0.95794,1.14015,1.1231,0.0003466,0.0003466,0.0003466
68,174.3,0.65934,0.63203,0.98705,0.78044,0.74274,0.77914,0.56918,0.97525,1.14848,1.13071,0.0003367,0.0003367,0.0003367
69,176.679,0.67759,0.6198,0.99969,0.7515,0.74083,0.75675,0.55698,0.99375,1.22462,1.14024,0.0003268,0.0003268,0.0003268
70,179.18,0.70537,0.61457,1.01628,0.73198,0.73885,0.77313,0.57033,0.97228,1.19737,1.1325,0.0003169,0.0003169,0.0003169
71,181.622,0.64171,0.59602,0.97821,0.79373,0.70368,0.78374,0.58228,0.95675,1.1414,1.11645,0.000307,0.000307,0.000307
72,184.08,0.65601,0.59611,0.9821,0.77481,0.75493,0.77981,0.58219,0.98156,1.14696,1.11693,0.0002971,0.0002971,0.0002971
73,186.527,0.6377,0.58503,0.96544,0.85147,0.69538,0.78147,0.58201,0.93996,1.18279,1.1154,0.0002872,0.0002872,0.0002872
74,188.963,0.65646,0.62158,0.98528,0.83229,0.69616,0.78457,0.57421,0.99651,1.25307,1.13456,0.0002773,0.0002773,0.0002773
75,191.345,0.67352,0.61549,0.98728,0.78348,0.68039,0.77039,0.57846,0.96377,1.28741,1.12451,0.0002674,0.0002674,0.0002674
76,193.745,0.66641,0.59353,0.98311,0.78762,0.69395,0.77387,0.57674,0.95877,1.21237,1.11078,0.0002575,0.0002575,0.0002575
77,196.066,0.64362,0.56196,0.98486,0.77125,0.70848,0.77322,0.58302,0.93614,1.14871,1.10002,0.0002476,0.0002476,0.0002476
78,198.437,0.62208,0.54954,0.95975,0.76513,0.74346,0.766,0.56902,0.93065,1.16899,1.10016,0.0002377,0.0002377,0.0002377
79,200.804,0.59946,0.55915,0.95991,0.74334,0.73151,0.76601,0.56239,0.96835,1.22288,1.11264,0.0002278,0.0002278,0.0002278
80,203.224,0.63037,0.56867,0.96588,0.77799,0.67494,0.76477,0.55828,0.96682,1.25901,1.11913,0.0002179,0.0002179,0.0002179
81,205.581,0.62039,0.57261,0.95988,0.78532,0.67354,0.75899,0.56314,0.95629,1.27339,1.12388,0.000208,0.000208,0.000208
82,207.985,0.61918,0.56447,0.97071,0.76799,0.68304,0.75976,0.55999,0.96583,1.27028,1.13499,0.0001981,0.0001981,0.0001981
83,210.313,0.64112,0.57619,0.97389,0.7637,0.73964,0.76069,0.5564,0.97978,1.20527,1.14329,0.0001882,0.0001882,0.0001882
84,212.743,0.61381,0.55006,0.9618,0.78321,0.72152,0.75643,0.56022,0.95963,1.1648,1.13663,0.0001783,0.0001783,0.0001783
85,215.072,0.60737,0.54839,0.95256,0.74588,0.75737,0.76284,0.55691,0.97245,1.17092,1.14331,0.0001684,0.0001684,0.0001684
86,217.396,0.59975,0.53445,0.96857,0.72776,0.74502,0.76383,0.55635,1.0024,1.17056,1.14155,0.0001585,0.0001585,0.0001585
87,219.774,0.58927,0.53286,0.95174,0.74789,0.74229,0.76133,0.55217,0.99794,1.16541,1.13525,0.0001486,0.0001486,0.0001486
88,222.155,0.59556,0.53786,0.96382,0.77069,0.72846,0.7611,0.55685,0.99046,1.17436,1.13804,0.0001387,0.0001387,0.0001387
89,224.532,0.57595,0.52413,0.94526,0.77214,0.70402,0.76319,0.55997,1.00207,1.16245,1.14959,0.0001288,0.0001288,0.0001288
90,226.848,0.58298,0.53107,0.95707,0.76967,0.74979,0.77131,0.55723,1.01225,1.15911,1.154,0.0001189,0.0001189,0.0001189
91,230.106,0.5545,0.5527,0.92929,0.80712,0.66239,0.75602,0.54621,1.05497,1.22861,1.17348,0.000109,0.000109,0.000109
92,232.641,0.5241,0.50208,0.90221,0.72816,0.69076,0.73906,0.53626,1.06709,1.34817,1.17769,9.91e-05,9.91e-05,9.91e-05
93,235.081,0.5292,0.4798,0.90997,0.77009,0.68593,0.74013,0.54336,1.04965,1.31984,1.17448,8.92e-05,8.92e-05,8.92e-05
94,237.499,0.51931,0.4769,0.90018,0.75892,0.71482,0.75757,0.55649,1.01536,1.23014,1.15101,7.93e-05,7.93e-05,7.93e-05
95,239.922,0.52331,0.46063,0.89904,0.77113,0.74479,0.77296,0.56424,1.00393,1.16084,1.141,6.94e-05,6.94e-05,6.94e-05
96,242.297,0.48742,0.45523,0.89366,0.76353,0.75891,0.77514,0.56468,1.0124,1.11876,1.14661,5.95e-05,5.95e-05,5.95e-05
97,244.629,0.49872,0.43625,0.87663,0.75848,0.79069,0.77844,0.56477,1.01432,1.08495,1.15516,4.96e-05,4.96e-05,4.96e-05
