frame_index,time_sec,class_id,class_name,confidence,xmin,ymin,xmax,ymax,preprocess_ms,inference_ms,postprocess_ms,end_to_end_fps
48,2.398,1,mouse,0.818523,385.14,16.60,640.00,474.08,2.555,25.795,3.128,20.498
49,2.453,1,mouse,0.890718,1.40,144.76,319.65,393.13,2.724,25.557,3.119,20.190
50,2.492,1,mouse,0.872555,0.92,152.56,307.36,408.88,2.508,25.527,3.039,20.741
51,2.557,1,mouse,0.960213,0.71,159.80,328.83,416.41,2.780,25.507,3.172,20.289
51,2.557,1,mouse,0.746251,386.19,29.71,640.00,475.70,2.780,25.507,3.172,20.289
51,2.557,1,mouse,0.354876,303.70,0.00,640.00,480.00,2.780,25.507,3.172,20.289
52,2.598,1,mouse,0.912921,1.44,162.29,320.88,428.86,2.591,25.528,3.163,20.583
53,2.655,1,mouse,0.975217,0.00,176.73,301.13,472.85,2.491,25.542,3.179,20.304
53,2.655,1,mouse,0.725913,372.00,0.00,640.00,477.25,2.491,25.542,3.179,20.304
54,2.695,1,mouse,0.942759,0.00,183.70,256.09,470.76,2.560,25.491,2.987,20.695
55,2.754,1,mouse,0.950009,0.05,186.85,215.89,468.57,2.758,25.571,3.301,20.310
55,2.754,1,mouse,0.433955,0.00,58.03,214.83,468.89,2.758,25.571,3.301,20.310
56,2.792,1,mouse,0.957322,0.01,191.10,234.39,467.69,2.558,25.497,3.075,20.818
57,2.854,1,mouse,0.962035,0.24,206.41,174.78,464.31,2.822,25.579,3.248,20.392
58,2.893,1,mouse,0.935110,0.19,207.58,154.09,437.93,2.567,25.698,3.005,20.860
59,2.956,1,mouse,0.915813,0.24,208.75,160.57,439.97,2.911,25.544,3.223,20.436
60,2.996,1,mouse,0.972556,0.30,208.42,173.23,478.59,2.614,25.685,2.995,20.773
60,2.996,1,mouse,0.398725,268.25,0.00,538.43,478.25,2.614,25.685,2.995,20.773
60,2.996,1,mouse,0.266217,274.17,0.00,632.12,480.00,2.614,25.685,2.995,20.773
61,3.054,1,mouse,0.946356,0.38,205.32,117.34,476.70,2.771,25.535,3.243,20.419
61,3.054,0,bottle,0.289382,240.17,108.57,424.21,477.41,2.771,25.535,3.243,20.419
62,3.093,1,mouse,0.915202,0.25,196.66,109.92,480.00,2.624,25.493,2.996,20.891
63,3.155,1,mouse,0.935521,0.16,191.05,100.29,480.00,2.889,25.509,3.377,20.450
63,3.155,0,bottle,0.373507,241.13,0.00,426.73,474.02,2.889,25.509,3.377,20.450
64,3.195,1,mouse,0.928060,0.28,179.23,98.79,479.32,2.895,25.497,3.029,20.854
64,3.195,0,bottle,0.287938,253.03,0.00,414.69,474.68,2.895,25.497,3.029,20.854
65,3.253,1,mouse,0.886292,0.00,171.67,117.87,480.00,2.587,25.483,3.249,20.474
66,3.291,1,mouse,0.968988,0.44,162.43,113.81,480.00,2.584,25.501,3.344,20.997
67,3.354,1,mouse,0.939433,0.31,145.14,118.22,475.09,2.729,25.536,3.351,20.537
68,3.393,1,mouse,0.948728,0.79,133.77,124.00,471.48,2.590,25.507,3.052,20.975
69,3.453,1,mouse,0.866418,0.00,102.52,141.93,473.19,2.521,25.561,3.254,20.562
70,3.493,1,mouse,0.861760,0.60,87.62,193.56,471.92,2.573,25.771,3.165,20.982
70,3.493,0,bottle,0.261693,312.08,0.00,451.66,474.20,2.573,25.771,3.165,20.982
71,3.554,1,mouse,0.912099,0.70,76.52,204.00,473.56,2.837,25.584,3.246,20.534
71,3.554,0,bottle,0.283909,329.96,24.45,474.60,477.15,2.837,25.584,3.246,20.534
72,3.593,1,mouse,0.893064,0.50,57.58,206.99,480.00,2.573,25.523,2.985,21.000
73,3.654,1,mouse,0.794581,584.20,331.66,639.92,409.77,2.708,25.566,3.238,20.569
73,3.654,1,mouse,0.718653,0.00,39.03,187.02,475.53,2.708,25.566,3.238,20.569
74,3.694,1,mouse,0.904537,0.67,42.62,206.34,476.14,2.472,25.448,3.059,21.009
74,3.694,1,mouse,0.374847,577.42,316.98,639.80,415.12,2.472,25.448,3.059,21.009
75,3.755,1,mouse,0.774621,0.00,11.60,208.55,480.00,2.530,25.471,3.109,20.589
75,3.755,1,mouse,0.259227,560.88,320.33,639.24,413.63,2.530,25.471,3.109,20.589
76,3.794,1,mouse,0.942333,0.54,11.62,214.48,479.05,2.572,25.534,2.987,20.964
77,3.853,1,mouse,0.811651,0.49,0.00,231.59,477.00,2.546,25.572,3.111,20.569
78,3.893,1,mouse,0.889510,0.00,13.78,218.01,348.24,2.516,25.557,3.074,21.036
79,3.956,1,mouse,0.913502,0.66,36.33,193.69,477.94,2.830,25.505,3.280,20.556
79,3.956,1,mouse,0.440466,528.74,335.90,639.99,473.06,2.830,25.505,3.280,20.556
79,3.956,0,bottle,0.252556,320.76,0.00,452.45,467.11,2.830,25.505,3.280,20.556
80,3.995,1,mouse,0.877416,0.00,50.96,193.53,477.77,2.609,25.512,2.965,20.947
81,4.055,1,mouse,0.901337,0.24,74.60,166.07,460.96,2.830,25.483,3.434,20.549
81,4.055,1,mouse,0.505100,0.41,72.75,153.95,358.00,2.830,25.483,3.434,20.549
82,4.094,1,mouse,0.966131,0.00,70.30,199.87,390.43,2.671,25.476,3.019,20.964
83,4.153,1,mouse,0.944736,0.10,71.86,213.71,391.23,2.570,25.551,3.348,20.564
84,4.192,1,mouse,0.981960,0.15,77.19,232.60,389.57,2.540,25.510,3.190,21.080
85,4.254,1,mouse,0.968353,0.02,80.68,256.12,376.45,2.820,25.889,3.209,20.587
86,4.293,1,mouse,0.924775,0.02,77.64,263.08,479.19,2.578,25.494,3.121,21.100
87,4.355,1,mouse,0.965872,0.61,77.77,295.02,377.71,2.889,25.732,3.555,20.616
88,4.395,1,mouse,0.869739,3.40,76.12,271.80,373.63,2.577,25.498,3.024,21.058
89,4.455,1,mouse,0.890328,9.65,69.82,293.41,367.57,2.816,25.534,3.299,20.644
90,4.496,1,mouse,0.856472,22.02,64.89,318.52,362.91,2.567,25.507,2.999,21.051
91,4.556,1,mouse,0.942078,29.63,60.73,318.71,359.53,2.623,25.529,3.582,20.626
92,4.599,1,mouse,0.955610,37.66,64.17,319.19,361.95,2.570,28.110,3.300,20.793
93,4.660,1,mouse,0.962096,46.25,71.70,349.28,365.86,2.866,25.512,3.256,20.401
94,4.725,1,mouse,0.981737,59.07,79.34,345.87,369.84,2.578,26.576,3.523,19.903
95,4.767,1,mouse,0.961119,66.70,82.34,356.41,371.97,2.613,25.698,3.020,20.270
96,4.824,1,mouse,0.975625,72.31,95.61,355.48,387.39,2.740,25.536,3.371,20.008
