epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,128.083,1.408,1.57653,1.52572,0.63444,0.55472,0.58894,0.36246,1.41672,1.74846,1.58374,0.005743,0.005743,0.005743
45,130.67,1.34429,1.51069,1.46291,0.59072,0.5668,0.57235,0.37205,1.38096,1.9223,1.53613,0.005644,0.005644,0.005644
46,133.293,1.31325,1.50134,1.42751,0.63808,0.59182,0.58988,0.37262,1.36217,1.70169,1.51359,0.005545,0.005545,0.005545
47,135.824,1.29429,1.44653,1.46666,0.6525,0.54326,0.62144,0.39925,1.35097,1.63527,1.54622,0.005446,0.005446,0.005446
48,138.425,1.31991,1.4817,1.45443,0.69816,0.55759,0.63865,0.39815,1.38625,1.68386,1.55005,0.005347,0.005347,0.005347
49,141.138,1.3029,1.45973,1.43771,0.64931,0.58935,0.59527,0.39648,1.37173,1.75326,1.55446,0.005248,0.005248,0.005248
50,143.676,1.29305,1.4645,1.43064,0.71818,0.56328,0.61134,0.37786,1.37179,1.69037,1.58088,0.005149,0.005149,0.005149
51,146.205,1.31174,1.44849,1.46962,0.61845,0.52041,0.58401,0.3629,1.38383,1.8217,1.57645,0.00505,0.00505,0.00505
52,148.765,1.28376,1.40144,1.42654,0.71833,0.54946,0.64117,0.41752,1.3056,1.65385,1.49403,0.004951,0.004951,0.004951
53,151.325,1.25592,1.4032,1.39528,0.74404,0.55272,0.64419,0.42268,1.29527,1.65654,1.4677,0.004852,0.004852,0.004852
54,153.955,1.29159,1.42473,1.44776,0.75394,0.61693,0.65206,0.44446,1.2634,1.50679,1.45613,0.004753,0.004753,0.004753
55,156.632,1.24692,1.32563,1.3909,0.70816,0.5322,0.61353,0.41172,1.28806,1.55319,1.50039,0.004654,0.004654,0.004654
56,159.313,1.27015,1.38652,1.41001,0.73694,0.58256,0.64355,0.40537,1.37787,1.65701,1.52981,0.004555,0.004555,0.004555
57,161.902,1.28329,1.37268,1.42026,0.68902,0.55843,0.60867,0.37763,1.3205,1.79837,1.50602,0.004456,0.004456,0.004456
58,164.506,1.23388,1.34178,1.40766,0.67304,0.50914,0.63603,0.4241,1.26629,1.6043,1.47281,0.004357,0.004357,0.004357
59,167.091,1.27958,1.41375,1.41323,0.69471,0.58164,0.62923,0.41698,1.2745,1.58177,1.48417,0.004258,0.004258,0.004258
60,169.701,1.21429,1.30906,1.39457,0.69955,0.55969,0.64888,0.42274,1.27672,1.59169,1.48119,0.004159,0.004159,0.004159
61,172.33,1.22791,1.25069,1.37825,0.73184,0.5476,0.65741,0.44438,1.2898,1.55093,1.47524,0.00406,0.00406,0.00406
62,174.909,1.21521,1.28326,1.36627,0.60375,0.62806,0.64746,0.42332,1.25348,1.59158,1.45054,0.003961,0.003961,0.003961
63,177.492,1.2378,1.31483,1.38421,0.67143,0.60016,0.64897,0.42295,1.31306,1.51698,1.51847,0.003862,0.003862,0.003862
64,180.1,1.2312,1.32541,1.38067,0.65613,0.6384,0.62947,0.40435,1.33979,1.65456,1.51054,0.003763,0.003763,0.003763
65,182.585,1.21515,1.30858,1.38607,0.7266,0.62912,0.66545,0.44028,1.33179,1.55975,1.53414,0.003664,0.003664,0.003664
66,185.212,1.1638,1.24563,1.35224,0.72024,0.62694,0.67302,0.44392,1.3236,1.46802,1.53693,0.003565,0.003565,0.003565
67,187.696,1.21886,1.29043,1.36431,0.65881,0.63129,0.65165,0.43446,1.27151,1.42839,1.49378,0.003466,0.003466,0.003466
68,190.309,1.15033,1.26119,1.34863,0.71137,0.5405,0.64026,0.42929,1.27655,1.49809,1.47733,0.003367,0.003367,0.003367
69,192.591,1.13256,1.20192,1.30774,0.76801,0.55892,0.63903,0.42187,1.29712,1.48466,1.48585,0.003268,0.003268,0.003268
70,195.141,1.17728,1.27254,1.3656,0.7609,0.59411,0.66464,0.45081,1.24915,1.45697,1.43253,0.003169,0.003169,0.003169
71,197.242,1.13002,1.19403,1.32775,0.73394,0.63879,0.65161,0.43212,1.30559,1.52147,1.48387,0.00307,0.00307,0.00307
72,199.88,1.12318,1.15232,1.30115,0.68914,0.64955,0.69236,0.4527,1.23816,1.42285,1.44611,0.002971,0.002971,0.002971
73,202.557,1.17587,1.22803,1.34078,0.66259,0.63564,0.68058,0.45455,1.26315,1.44571,1.47769,0.002872,0.002872,0.002872
74,205.142,1.18148,1.2199,1.33043,0.74497,0.65081,0.69657,0.48143,1.23789,1.47791,1.45589,0.002773,0.002773,0.002773
75,207.659,1.15615,1.19772,1.32744,0.61832,0.61572,0.63929,0.45549,1.27675,1.54304,1.4609,0.002674,0.002674,0.002674
76,210.182,1.12177,1.18575,1.29036,0.78562,0.55671,0.65536,0.45112,1.18053,1.52367,1.41418,0.002575,0.002575,0.002575
77,212.746,1.15745,1.19302,1.30321,0.749,0.64701,0.69129,0.46915,1.18231,1.44145,1.3969,0.002476,0.002476,0.002476
78,215.355,1.08194,1.15486,1.28644,0.67935,0.65074,0.68917,0.4791,1.2331,1.45426,1.43329,0.002377,0.002377,0.002377
79,217.986,1.08561,1.11141,1.27576,0.75499,0.60024,0.68999,0.48824,1.20629,1.43727,1.41259,0.002278,0.002278,0.002278
80,220.537,1.0996,1.10211,1.29935,0.72712,0.61709,0.6785,0.45317,1.27253,1.48972,1.48897,0.002179,0.002179,0.002179
81,223.156,1.07177,1.14384,1.27665,0.76966,0.64184,0.68148,0.47671,1.23249,1.41442,1.4791,0.00208,0.00208,0.00208
82,225.286,1.08232,1.10442,1.28408,0.69959,0.65292,0.6576,0.45686,1.26506,1.47633,1.49896,0.001981,0.001981,0.001981
83,227.919,1.03266,1.06128,1.25479,0.68497,0.64665,0.67859,0.46361,1.22889,1.45607,1.4645,0.001882,0.001882,0.001882
84,230.192,1.02738,1.05149,1.23893,0.6942,0.67691,0.71083,0.49266,1.20993,1.34408,1.43444,0.001783,0.001783,0.001783
85,232.822,1.05385,1.0503,1.25975,0.73754,0.64273,0.71008,0.48281,1.23486,1.36229,1.44173,0.001684,0.001684,0.001684
86,235.088,1.06256,1.07677,1.26843,0.6569,0.67516,0.69553,0.47263,1.22339,1.3693,1.43006,0.001585,0.001585,0.001585
87,237.57,1.05436,1.07858,1.26224,0.72266,0.69127,0.72372,0.49224,1.23572,1.30884,1.42195,0.001486,0.001486,0.001486
88,239.872,1.06165,1.06884,1.27937,0.78712,0.62654,0.7273,0.48873,1.19237,1.32017,1.4048,0.001387,0.001387,0.001387
89,242.138,1.01475,1.04099,1.24359,0.75306,0.66779,0.71843,0.49812,1.1942,1.34247,1.42217,0.001288,0.001288,0.001288
90,244.652,1.01736,1.01538,1.2202,0.73118,0.65705,0.71104,0.4963,1.19605,1.39921,1.41941,0.001189,0.001189,0.001189
91,248.389,0.98117,1.11118,1.22471,0.78048,0.63224,0.70261,0.49394,1.2307,1.45398,1.43271,0.00109,0.00109,0.00109
92,250.219,0.9878,1.02679,1.23079,0.76065,0.63138,0.69736,0.48615,1.22265,1.49325,1.43436,0.000991,0.000991,0.000991
93,252.192,1.0064,0.98504,1.23463,0.75826,0.64092,0.71324,0.4872,1.24465,1.37167,1.44755,0.000892,0.000892,0.000892
94,254.013,0.95186,0.94442,1.21272,0.72903,0.68052,0.71926,0.49697,1.22647,1.31228,1.44234,0.000793,0.000793,0.000793
95,256.625,0.90284,0.88699,1.18228,0.67386,0.71043,0.71978,0.49866,1.21344,1.3183,1.43705,0.000694,0.000694,0.000694
96,258.343,0.91542,0.88619,1.19036,0.73606,0.65766,0.72408,0.51022,1.20807,1.29183,1.42515,0.000595,0.000595,0.000595
97,260.073,0.9282,0.89158,1.20096,0.75963,0.64671,0.72652,0.51679,1.20058,1.27891,1.42631,0.000496,0.000496,0.000496
98,262.656,0.88193,0.8576,1.1652,0.74293,0.65695,0.73209,0.52197,1.20193,1.28185,1.43266,0.000397,0.000397,0.000397
99,264.784,0.91706,0.87625,1.18096,0.69794,0.66928,0.72709,0.51557,1.20884,1.29059,1.44524,0.000298,0.000298,0.000298
100,267.174,0.95233,0.9097,1.22268,0.75686,0.63433,0.73163,0.511,1.2084,1.29973,1.44258,0.000199,0.000199,0.000199
